Territory,Albania,Aral Lake in the former official EMEP domain,Armenia,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Austria,Azerbaijan,Baltic Sea,Belarus,Belgium,Black Sea,Bosnia and Herzegovina,Bulgaria,Caspian Sea,Croatia,Cyprus,Czechia,Denmark,EMEP-external part of Russian Federation,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kazakhstan,Kazakhstan in the former official EMEP domain,Kyrgyzstan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Mediterranean Sea,Modified Remaining Asian Areas in the former official EMEP domain,Monaco,Montenegro,Netherlands,North Africa,North Macedonia,North Sea,Norway,Poland,Portugal,Remaining Asian Areas in the extended EMEP domain,Remaining North-East Atlantic Ocean,Republic of Moldova,Rest of Aral Lake in the extended EMEP domain,Rest of Kazakhstan in the extended EMEP domain,Rest of Russian Federation in the extended EMEP domain,Rest of Turkmenistan in the extended EMEP domain,Rest of Uzbekistan in the extended EMEP domain,Romania,Russian Federation,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Turkmenistan in the former official EMEP domain,Ukraine,United Kingdom,Uzbekistan,Uzbekistan in the former official EMEP domain,Total (Gg),Total (Tg)
2000,33.304,3.60E-05,23.14,5625.762,181.175,116.995,2.978,367.05,232.118,0.944,57.48,108.389,0.034,102.812,13.284,313.892,185.308,262.989,36.618,177.971,2044.347,40.159,1803.995,308.443,190.298,8.848,122.623,1630.284,367.717,55.158,21.369,54.008,0.56,60.659,16.109,3.816,11.961,2954.145,0.416,9.11,335.247,1210.937,46.422,6.492,415.397,784.407,238.09,2246.085,7.647,32.643,0.00011,312.559,706.796,65.493,219.642,289.749,2758.516,1080.329,149.336,152.924,54.94,933.895,223.03,153.919,22.076,1607.531,83.543,16.373,609.878,1648.305,225.931,6.793,34191.19,34.19
2001,33.69,3.30E-05,23.961,5792.012,175.868,128.784,2.91,366.595,226.071,0.938,54.615,96.468,0.038,100.583,13.097,304.31,175.244,264.797,35.492,175.095,1949.172,40.587,1709.079,305.757,190.416,8.272,122.669,1566.52,386.356,57.953,23.401,56.748,0.486,57.327,15.887,3.653,11.853,3036.914,0.399,8.072,306.433,1227.532,38.596,6.227,425.101,754.427,233.565,2290.279,7.58,37.463,0.00011,328.402,712.085,67.396,217.521,274.198,2754.666,1077.448,147.185,154.037,55.534,906.571,212.99,145.647,23.251,1473.202,86.002,16.849,616.189,1570.327,223.517,6.727,33919.04,33.92
2002,34.075,3.10E-05,24.782,5958.262,171.116,140.573,2.903,366.14,210.365,0.934,51.75,103.938,0.042,103.396,13.835,292.403,170.181,266.606,34.585,166.179,1821.231,40.898,1617.604,318.889,176.672,8.022,122.792,1471.685,404.995,60.749,25.433,55.634,0.454,60.087,15.854,3.983,11.674,3119.684,0.371,9.436,290.791,1244.128,37.61,6.135,382.23,774.39,227.593,2334.473,7.453,41.124,0.00011,344.245,717.374,71.737,212.76,278.496,2750.817,1074.567,148.03,140.728,51.513,870.443,208.214,134.88,23.999,1290.98,91.778,17.934,622.5,1480.67,218.213,6.58,33560.6,33.56
2003,34.461,2.80E-05,25.604,6124.512,167.037,152.361,2.876,365.685,200.14,0.923,48.884,102.712,0.046,107.284,14.867,286.754,162.148,268.414,33.334,161.914,1773.865,41.546,1536.527,330.533,181.53,7.759,121.158,1451.776,423.633,63.545,27.465,55.308,0.423,58.491,14.531,3.175,11.563,3202.454,0.356,9.591,283.003,1260.723,37.209,6.039,335.171,741.622,216.683,2378.667,7.372,43.43,0.00011,360.088,722.662,74.592,210.819,292.781,2746.968,1071.686,151.328,140.392,51.07,837.806,209.032,126.578,23.635,1247.865,95.766,18.648,628.811,1366.101,215.809,6.52,33484.06,33.48
2004,34.846,2.50E-05,26.425,6290.762,153.703,164.15,2.834,365.23,187.917,0.916,46.019,91.55,0.051,113.911,15.301,277.506,158.383,270.223,33.612,157.317,1661.062,41.674,1533.441,341.089,176.672,7.876,120.54,1348.984,442.272,66.341,29.497,54.409,0.383,57.482,16.008,2.956,11.437,3285.223,0.335,9.106,262.368,1277.319,37.425,5.983,298.536,768.806,209.606,2422.861,7.3,46.314,0.00011,375.931,727.951,77.994,204.758,301.924,2743.118,1068.805,153.958,141.29,48.944,817.714,206.299,118.365,26.97,1180.417,100.293,19.499,635.122,1278.372,209.168,6.333,33377.19,33.38
2005,35.232,2.30E-05,27.246,6457.012,157.727,175.939,2.797,364.775,181.842,0.904,43.154,94.547,0.055,113.773,16.023,269.568,153.369,272.031,31.857,146.203,1580.777,35.475,1486.3,333.791,173.667,7.328,121.116,1340.333,460.911,69.137,31.529,54.198,0.377,63.081,15.22,2.837,11.3,3367.993,0.365,8.325,266.734,1293.914,32.401,5.914,250.703,765.799,197.727,2467.055,7.227,51.557,0.00011,391.774,733.239,77.347,206.378,324.568,2739.269,1065.924,149.411,149.743,48.326,787.215,204.416,115.326,27.513,1110.974,99.497,19.337,641.433,1196.534,210.64,6.383,33352.39,33.35
2006,34.719,3.10E-05,29.143,6491.865,159.844,204.321,2.756,365.658,175.396,0.894,43.446,92.783,0.061,115.129,15.813,270.219,148.889,266.899,30.668,140.156,1479.267,34.724,1482.702,310.16,160.551,7.284,121.13,1305.142,488.094,73.214,33.925,53.781,0.366,64.281,13.507,2.583,11.218,3408.54,0.313,9.139,260.446,1302.487,32.642,5.861,220.969,821.733,190.326,2526.913,7.174,45.588,0.00024,414.88,724.331,76.628,211.52,325.794,2689.141,1056.238,146.777,143.413,46.187,757.734,199.518,111.88,29.717,1090.726,98.315,19.157,622.53,1147.414,216.049,6.542,33197.21,33.2
2007,34.207,3.90E-05,31.041,6526.719,155.671,232.704,2.747,366.539,165.389,0.885,43.739,88.598,0.067,110.748,15.907,263.883,146.384,261.766,28.088,136.429,1352.477,36.115,1420.615,287.849,146.48,7.261,120.309,1286.968,515.277,77.291,36.321,52.762,0.357,64.063,12.358,2.553,11.114,3449.087,0.308,9.191,262.528,1311.059,33.757,5.769,214.248,801.432,185.045,2586.772,7.088,41.44,0.00037,437.985,715.423,77.467,213.768,304.378,2639.014,1046.552,150.695,138.077,46.173,742.588,204.836,108.898,32.447,986.991,99.552,19.367,603.628,1107.017,218.511,6.611,32849.38,32.85
2008,33.694,4.70E-05,32.938,6561.573,150.378,261.086,2.634,387.325,157.547,0.865,44.031,88.044,0.069,109.368,14.529,259.337,143.358,256.634,26.372,120.304,1272.732,35.779,1358.638,261.427,137.527,6.763,116.504,1264.983,542.459,81.369,38.716,47.665,0.353,64.273,13.6,2.215,10.611,3489.633,0.299,9.604,256.315,1319.632,35.225,5.579,181.357,822.063,175.663,2646.631,6.804,42.968,0.0005,461.09,706.515,78.946,217.679,321.603,2588.887,1036.865,145.562,134.528,44.21,675.832,195.917,106.523,33.315,1085.734,101.496,19.737,584.725,1025.598,222.129,6.732,32691.1,32.69
2009,33.182,5.50E-05,34.836,6596.427,137.497,289.469,2.585,361.956,145.347,0.85,44.324,93.797,0.07,95.423,13.375,257.581,133.387,251.501,23.595,111.318,1197.981,34.782,1244.959,249.576,136.785,6.263,114.075,1184.356,569.642,85.446,41.112,47.649,0.346,59.155,12.465,3.374,10.338,3530.18,0.27,9.17,257.589,1328.204,34.823,5.496,165.226,773.817,160.909,2706.489,6.705,41.558,0.00063,484.196,697.608,76.939,225.279,278.401,2538.76,1027.179,144.822,125.214,40.648,617.666,180.719,103.099,34.232,1092.187,98.725,19.235,565.823,920.885,230.413,6.967,32154.26,32.15
2010,32.669,6.30E-05,36.733,6631.281,137.906,317.851,2.661,307.635,144.068,0.857,44.616,85.349,0.075,91.899,12.992,254.605,131.167,246.369,23.013,113.409,1205.871,35.476,1361.42,215.069,131.686,5.794,111.003,1117.295,596.825,89.524,43.508,44.563,0.341,58.235,11.815,3.655,10.739,3570.727,0.248,9.731,268.026,1336.777,26.976,5.606,168.634,738.137,162.132,2766.348,6.855,45.33,0.00076,507.301,688.7,83.136,221.972,267.564,2488.632,1017.492,136.855,124.662,39.911,616.821,176.702,100.228,36.313,1102.833,106.637,20.784,546.92,880.21,226.849,6.865,32160.89,32.16
2011,32.15,6.70E-05,38.234,6754.717,132.926,328.736,2.606,345.916,132.204,0.854,59.568,87.577,0.081,86.592,10.983,243.311,124.801,250.879,22.836,103.931,1128.782,35.72,1272.649,200.253,134.978,5.617,108.152,1026.275,605.436,90.815,47.317,44.983,0.335,56.82,11.728,3.297,10.455,3911.764,0.271,10.135,264.453,1357.108,29.936,5.538,159.808,727.708,152.21,3030.56,6.89,45.897,0.00081,514.62,701.308,86.91,222.562,258.709,2534.192,1024.519,136.654,122.082,37.384,592.555,174.231,96.732,37.806,1076.897,111.32,21.728,525.529,864.926,227.018,6.883,32619.36,32.62
2012,31.631,7.10E-05,39.735,6878.154,130.747,339.621,2.589,347.105,128.628,0.845,74.52,86.477,0.084,81.103,10.476,237.47,119.532,257.697,23.16,101.574,1075.932,36.116,1256.837,193.013,136.143,5.475,109.286,1030.473,614.046,92.107,51.126,45.187,0.333,56.297,12.048,3.184,10.662,4219.214,0.265,10.145,258.254,1377.439,29.963,5.548,161.036,704.375,148.384,3268.75,6.769,43.728,0.00085,521.939,720.367,88.353,225.012,258.937,2603.064,1031.546,130.727,118.289,35.898,567.899,165.964,95.234,46.978,1130.27,110.673,22.088,504.138,854.159,224.837,6.959,33316.61,33.32
2013,31.112,7.50E-05,41.237,7001.591,124.845,350.507,2.549,338.558,124.964,0.835,89.472,82.538,0.089,76.666,8.881,234.913,120.512,257.713,22.535,96.248,1066.996,36.154,1212.408,175.772,133.237,5.356,111.138,999.317,622.657,93.399,54.934,43.908,0.321,54.876,11.617,3.603,10.501,4546.989,0.261,9.101,255.745,1397.769,29.852,5.477,159.808,652.405,145.658,3522.687,6.662,43.059,0.0009,529.258,720.41,89.818,228.744,250.708,2603.217,1038.574,130.063,116.148,35.036,555.578,158.244,92.592,49.525,1071.905,118.275,22.455,482.748,825.63,221.034,7.075,33764.47,33.76
2014,30.593,7.80E-05,42.738,7125.027,118.172,361.392,2.465,330.012,118.343,0.845,104.424,78.25,0.093,70.062,8.435,230.959,112.041,257.364,22.453,93.666,1050.323,37.062,1173.86,171.975,124.167,5.433,108.186,927.66,631.267,94.69,58.743,44.283,0.313,53.501,10.945,3.049,9.838,4878.897,0.263,9.057,243.471,1418.1,26.535,5.184,169.461,648.301,150.896,3779.826,6.186,51.757,0.00094,536.577,719.434,91.284,232.477,245.334,2599.692,1045.601,119.429,97.748,32.464,556.853,154.213,89.172,56.996,1065.323,124.362,22.821,461.357,820.691,213.819,7.19,34293.4,34.29
2015,30.074,7.90E-05,44.239,7248.464,113.058,372.277,2.439,310.017,117.537,0.84,119.376,80.576,0.094,71.279,8.777,230.044,114.972,259.716,22.054,88.895,1023.427,35.71,1147.284,164.825,128.41,5.582,108.872,900.68,639.878,95.982,62.552,41.597,0.305,52.221,10.661,2.975,10.275,5215.8,0.26,9.284,251.084,1438.431,26.074,5.292,164.885,667.617,153.199,4040.835,6.501,55.76,0.001,543.896,726.009,92.749,236.209,238.913,2623.45,1052.628,125.856,112.078,32.763,577.175,154.78,86.054,58.673,1107.773,127.277,23.187,439.966,819.947,215.572,7.305,35103.25,35.1
2016,31.072,8.00E-05,39.583,7744.894,111.882,373.661,2.469,290.672,116.73,0.797,114.518,77.707,0.095,72.978,8.91,224.403,110.596,262.391,21.873,89.833,1001.342,36.632,1141.921,156.516,128.503,5.754,109.954,884.195,628.565,94.285,57.325,39.847,0.298,51.715,10.71,2.864,10.054,5567.172,0.26,9.043,247.353,1453.676,25.681,5.274,162.727,695.98,149.76,4313.053,6.41,59.894,0.001,534.281,733.488,103.607,263.861,236.799,2650.475,1063.471,124.311,113.281,32.949,585.525,147.834,83.843,65.541,1084.928,142.177,25.902,425.867,799.412,240.808,8.161,36218.35,36.22
2017,32.07,8.30E-05,34.927,8282.947,112.401,375.046,2.463,285.894,114.937,0.779,109.66,77.345,0.099,70.214,11.01,223.72,108.552,267.699,22.861,87.351,1003.266,34.825,1147.27,152.531,125.719,5.535,114.913,924.669,617.253,92.588,52.098,40.381,0.294,51.491,10.724,2.984,10.255,5943.346,0.244,8.972,247.666,1515.442,26.316,5.129,159.76,710.741,152.381,4604.486,6.328,66.592,0.001,524.665,748.325,114.465,291.513,239.961,2702.659,1084.41,122.611,110.939,32.556,597.602,140.407,82.969,72.41,1109.943,157.077,28.616,411.768,807.097,266.044,9.016,37709.23,37.71
2018,33.068,8.60E-05,30.271,8842.028,109.032,376.43,2.487,281.116,113.925,0.791,104.801,72.573,0.103,71.081,9.641,222.647,107.763,267.699,21.987,85.436,978.777,32.398,1125.016,146.041,120.038,5.509,115.144,897.435,605.94,90.891,46.87,44.703,0.289,51.883,10.584,2.729,10.327,6333.644,0.244,8.677,240.446,1563.156,25.418,5.177,157.065,679.772,154.423,4906.862,6.46,72.025,0.001,515.049,748.325,125.323,319.165,235.934,2739.346,1099.13,120.306,102.531,32.318,610.342,136.445,81.961,79.279,1088.679,171.977,31.331,397.668,820.34,291.28,9.871,38947.42,38.95